Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"SSD Externo Adata SE880, 1TB, USB-C 3.2, Gris",AELI-SE880-1TCGY,"$1,197.00","$1,079.00",$99.00,38
"Router ASUS Gigabit Ethernet de Banda Dual RT-AC66U B1 AC1750 para Gaming con AiMesh, Inalámbrico, 1300 Mbit/s, 4x RJ-45, 2.4/5GHz, 3 Antenas",90IG0300-BA1000,"$1,859.00","$1,009.00",Envío gratis,201
"Cartucho Brother LC107BK Negro, 1200 Páginas",LC107BK,$562.00,$168.00,$99.00,¡1
"Nexxt Solutions Foco LED Inteligente NHB-W310, WiFi, Luz Fria/Cálida, 4W, 400 Lúmenes, Ahorro de 87% vs Foco Tradicional 40W - 3 Piezas",NHB-W310 3PK,"$1,019.00",$381.00,$99.00,20
"X-Case Caja ACCREDKE10, 1x RJ-45, 10 Piezas",ACCREDKE10,$365.00,$51.00,$99.00,5
"Yeyian Audífonos Gamer Force S3000, Alámbrico, 2.2 Metros, 3.5mm, Gris ― ¡Compra productos Yeyian y gana 1 de los 4 pases dobles al Gamergy 2023!",YDF-33401G,$407.00,$179.00,$99.00,1011
"Zebra Rollo de Etiquetas Z-Select 4000T, 1.188"" x 0.84"", 3000 Etiquetas, 6 Rollos",10009522,"$1,169.00",$195.00,$99.00,48
"Memoria RAM Adata AD5U48008G-S DDR5, 4800MHz, 8GB, ECC, CL40",AD5U48008G-S,$976.00,$482.00,$99.00,12
"Memoria RAM Lenovo 4ZC7A08709 DDR4, 2933MHz, 32GB",4ZC7A08709,"$9,368.00","$1,649.00",$99.00,19
"Panduit Módulo Ciego Gris, Paquete de 10 Piezas",CMBIG-X,$163.00,$21.00,$99.00,3
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Lila",910-006021,"$1,171.00",$779.00,$99.00,6
"Jabra Cable GN1216 Avaya, QD Macho - RJ-9 Macho, 80cm, Negro",88001-04,$729.00,$115.00,$99.00,204
"SSD Western Digital WD Green SN350 NVMe, 1TB, PCI Express, M.2",WDS100T3G0C,$874.00,$629.00,$99.00,998
"Procesador AMD Ryzen 3 3200G con Gráficos Radeon Vega 8, S-AM4, 3.60GHz, Quad-Core, 4MB L3, con Disipador Wraith Stealth",YD3200C5FHBOX,"$1,934.00","$1,349.00",$99.00,4
"SSD Western Digital WD Blue SN570 NVMe, 500GB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS500G3B0C,$682.00,$472.00,$99.00,273
"Teclado Logitech K380, Inalámbrico, Bluetooth, Rosa (Español)",920-009594,$803.00,$559.00,$99.00,11
"X-Case Placa de Pared de 1 Puerto HDMI, Blanco",HDMIPLA01,$348.00,$76.00,$99.00,52
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Negro (Inglés)",920-009495,"$3,519.00","$2,529.00",$99.00,16
"Dell Docking Station DA310 USB-C, 2x USB-A, 1x USB-C, 1x HDMI, 1x DisplayPort, 1x RJ-45, Gris",470-AETL,"$2,349.00","$1,339.00",$99.00,252
"Logitech Audífonos con Micrófono Zone Vibe 100, Bluetooth, Inalámbrico, Rosa",981-001223,"$1,590.00","$1,039.00",$99.00,10
"SSD Western Digital WD Blue SA510, 250GB, SATA III, 2.5'', 7mm",WDS250G3B0A,$694.00,$437.00,$99.00,2
"Logitech Audífonos Gamer G635 7.1, Alámbrico, 1.5 Metros, 3.5mm, Negro/Azul",981-000748,"$2,719.00","$1,919.00",$99.00,8
"Tarjeta Madre Gigabyte Micro ATX B550M DS3H AC Rev. 1.0, S-AM4, AMD B550, HDMI, 128GB DDR4 para AMD",B550M DS3H AC (REV. 1.0),"$2,084.00","$1,809.00",Envío gratis,15
"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",981-000755,"$1,311.00",$929.00,$99.00,10
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Azul",910-006013,"$1,222.00",$889.00,$99.00,7
"SSD PNY CS900, 240GB, SATA III, 2.5'', 7mm",D7CS900-240-RB,$577.00,$406.00,$99.00,22
"SSD Western Digital WD Green SN350 NVMe, 480GB, PCI Express 3.0, M.2",WDS480G2G0C,$525.00,$406.00,$99.00,1629
"Monitor Gamer Ocelot Gaming OGM27-01 LED 27"", Full HD, FreeSync, 144Hz, HDMI, Negro",OGM27-01,"$3,692.00","$2,389.00",$209.00,54
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Negro",910-005879,"$2,168.00","$1,669.00",$99.00,2
"Tablet Lenovo Tab M7 Gen3 7"", 32GB, Android 11, Gris",ZA8C0009MX,"$2,832.00","$1,389.00",$99.00,83
"SSD HP EX950, 512GB, PCI Express 3.0, M.2",5MS22AA,"$1,117.00",$639.00,$99.00,69
"Monitor Lenovo LED 19.5"", WXGA+, HDMI, Negro",62BBKAR1LA,"$2,823.00","$1,749.00",$144.00,¡1
"SSD XPG GAMMIX S41 3D NAND, 1TB, PCI Express, M.2",AGAMMIXS41-1T-C,"$1,096.00",$849.00,$99.00,38
"Monitor Gamer Gigabyte G24F 2 LED 23.8"", Full HD, FreeSync Premium/Adaptive-Sync, 165Hz, HDMI, Negro",G24F 2,"$3,943.00","$3,349.00",$164.00,16
"Gabinete Yeyian Hollow 2500 con Ventana RGB, Midi-Tower, ATX/EATX/ITX/Micro ATX, USB 3.0, sin Fuente, sin Ventiladores Instalados, Negro/Blanco ― ¡Compra productos Yeyian y gana 1 de los 4 pases dobles al Gamergy 2023!",YGH-49704,"$1,045.00",$889.00,Envío gratis,41
"SSD Adata Legend 850 NVMe, 512GB, PCI Express 4.0, M.2",ALEG-850-512GCS,$872.00,$619.00,$99.00,12
"SSD Western Digital WD Blue SA510, 500GB, SATA III, 2.5"", 7mm",WDS500G3B0A,"$1,040.00",$729.00,$99.00,25
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Rojo",CGC-500/RD,"$3,853.00","$2,899.00",$319.00,7
"Procesador AMD Ryzen 7 5700G, S-AM4, 3.80GHz, 8-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000263BOX,"$3,285.00","$2,669.00",$99.00,40
"Logitech Audífonos Gamer G433 7.1 para Xbox/PS4/Nintendo Switch, Alámbrico, 2 Metros, 3.5mm, Negro",981-000667,"$2,216.00","$1,619.00",$99.00,14
"Gabinete ASUS TUF Gaming GT301 con Ventana, Midi-Tower, ATX/Micro-ATX/Mini-ATX, USB 3.2, sin Fuente, 4 Ventiladores Instalados, Negro",90DC0040-B49000,"$2,376.00","$1,939.00",Envío gratis,233
"Beats by Dr. Dre Audífonos Beats Solo3 Wireless, Bluetooth, Negro",MX432LL/A,"$4,499.00","$2,739.00",$99.00,50
"Logitech Audífonos Gamer G Pro, Alámbrico, 2 Metros, 3.5mm, Negro",981-000811,"$2,156.00","$1,649.00",$99.00,12
"Apple AirPods (2da. Generación), Inalámbrico, Bluetooth, Blanco - incluye Estuche de Carga Alámbrico",MV7N2BE/A,"$3,999.00","$3,159.00",Envío gratis,201
"Mousepad Gamer Primus Arena L, 39 x 31cm, Grosor 3mm, Negro/Morado",PMP-10L,$245.00,$83.00,$99.00,11
"Mousepad Logitech Desk Mat, 70 x 30cm, 2mm, Rosa",956-000048,$386.00,$249.00,$99.00,14
"Memoria RAM XPG Spectrix D60G RGB DDR4, 3600MHz, 8GB, Non-ECC, CL19, XMP",AX4U36008G18I-ST60,$591.00,$456.00,$99.00,37
"Monitor Gamer LG 32MN500M-B LED 31.5"", Full HD, FreeSync, HDMI, Negro",32MN500M-B,"$5,010.00","$3,949.00",$159.00,428
"Naceb Base para Audífonos Gamer T11 Eleven RGB, 2x USB, 1x 3.5mm, Negro",NA-0952,$420.00,$246.00,$99.00,4
"XPG Tiras LED con Control Prime ARGB, 60cm x 10mm, Negro",ARGBSTRIP-BKCWW,$472.00,$299.00,$99.00,2
"Monitor Gamer LG UltraGear LED 23.6"", Full HD, FreeSync, 144Hz, HDMI, Negro/Rojo",24GL600F,"$3,676.00","$2,829.00",$149.00,¡1
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$931.00,$599.00,$99.00,283
"Monitor Gamer Samsung Odyssey G4 LED 25”, Full HD, G-Sync, 240Hz, HDMI, Negro",LS25BG400ELXZX,"$7,509.00","$5,759.00",$144.00,9
"Tablet Ghia Vector Slim 10.1”, 16GB, Android 10 Go Edition , Negro",GTVR10SB,"$2,188.00","$1,339.00",$99.00,91
"Logitech Bocina WONDERBOOM 2, Bluetooth, Inalámbrico, Negro - Resistente al Agua",984-001554,"$1,830.00","$1,359.00",$99.00,48
"SSD Kingston KC3000 NVMe, 1TB, PCI Express 4.0, M.2",C3000S/1024G,"$1,443.00","$1,229.00",$99.00,221
"Monitor LG 29WP500-B LCD 29"", Full HD, UltraWide, FreeSync, 75Hz, HDMI, Negro",29WP500-B,"$4,951.00","$4,099.00",$164.00,27
"Logitech Sistema de Bocinas con Subwoofer Z906, 5.1, 500W RMS, Negro",980-000474,"$7,930.00","$6,209.00",$209.00,69
"SSD Kingston FURY Renegade NVMe, 1TB, PCI Express 4.0, M.2",FYRS/1000G,"$1,543.00","$1,319.00",$99.00,24
"Xbox Live Gold, 1 Año ― Producto Digital Descargable",5T-00012,"$1,159.00",$949.00,Envío gratis,existencia
"Logitech Kit Volante Driving Force G29, Alámbrico, USB 2.0, para PC/PlayStation 3/4",941-000111,"$5,069.00","$3,779.00",$149.00,18
"Logitech Volante G920 Racing Wheel, Alámbrico, USB 2.0, para PC/Xbox One",941-000123,"$5,314.00","$3,959.00",$144.00,¡1
"Logitech Bocinas para Computadora Stereo Z120, Alámbrico, 2.0, 1.2W RMS, Negro/Blanco",980-000573,$402.00,$279.00,$99.00,89
"Fuente de Poder Gigabyte P450B 80 PLUS Bronze, 20+4 pin ATX, 120mm, 450W",GP-P450B,$776.00,$629.00,$99.00,395
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Plata",M-T220NZSAMXO,"$3,141.00","$2,289.00",$99.00,40
"Procesador AMD Ryzen 5 4600G Radeon Graphics, S-AM4, 3.70GHz, Six-Core, 8MB L3 Caché - con Disipador Wraith Stealth",100-100000147BOX,"$1,664.00","$1,469.00",$99.00,392
"SSD Samsung 980 PRO NVMe, 500GB, PCI Express 4.0, M.2",MZ-V8P500B/AM,"$1,887.00","$1,289.00",$99.00,8
"Procesador Intel Core i5-11400 Intel UHD Graphics 730, S-1200, 2.60GHz, Six-Core, 12MB Smart Cache (11va Generación Rocket Lake)",BX8070811400,"$3,011.00","$2,489.00",$99.00,2
"Laptop Gamer HP Victus 16-D0503LA 16.1"" Full HD, Intel Core i5-11400H 2.70GHz, 8GB, 256GB SSD, NVIDIA GeForce GTX 1650, Windows 11 Home 64-bit, Español, Azul",62C01LA,"$19,239.00","$14,189.00",$99.00,278
"Memoria RAM Dell AB663419 DDR4, 3200MHz, 8GB, ECC — Fabricado por Socios Dell",AB663419,"$3,991.00","$1,669.00",$99.00,25
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Menta",910-006377,"$1,070.00",$739.00,$99.00,4
"Procesador Intel Core i5-11400F, S-1200, 2.60GHz, Six-Core, 12MB Smart Cache (11va Generación - Rocket Lake)",BX8070811400F,"$2,688.00","$2,229.00",$99.00,100
"SSD XPG Spectrix S40G, 256GB, PCI Express 3.0, M.2",AS40G-256GT-C,$595.00,$476.00,$99.00,¡1
"Kit de Teclado y Mouse Vorago KMH-501, Alámbrico, USB, Negro (Español)",MH-501,$689.00,$539.00,$99.00,11
"Monitor Acteck 933858 LED 21.5"", Full HD, 75Hz, HDMI, Negro",AC-933858,"$1,686.00","$1,479.00",$144.00,58
"Logitech Webcam HD Pro Stream C922, 1920x1080 Pixeles, USB, Negro",960-001087,"$2,170.00","$1,679.00",$99.00,19
"Kit Gamer 3 en 1 Corsair Teclado K60 RGB Pro + Mouse Harpoon RGB Pro + Mousepad MM300, Alámbrico, USB, Negro (Inglés)",CH-910D519-SP,"$1,997.00","$1,389.00",$99.00,608
"Monitor BenQ GW2280 LED 21.5'', Full HD, HDMI, Negro",9H.LH4LB.QBL,"$2,360.00","$1,979.00",$149.00,85
"SSD XPG SX8200 Pro, 512GB, PCI Express 3.0, M.2",ASX8200PNP-512GT-C,$676.00,$539.00,$99.00,27
"Procesador AMD Ryzen 9 7950X Radeon Graphics, S-AM5, 4.50GHz, 16-Core, 64MB Cache - No Incluye Disipador ― ¡Compra y llévate de regalo Starfield!",100-100000514WOF,"$13,501.00","$10,619.00",$99.00,5
"Mouse Dell Óptico WM126, Inalámbrico, USB, 1000DPI, Negro",570-AALK,$445.00,$303.00,$99.00,1430
"Mouse Gamer ASUS Óptico ROG KERIS P509, Alámbrico, USB, 16000DPI, Negro",90MP01R0-B0UA00,$757.00,$609.00,Envío gratis,137
"Memoria Flash Adata Premier Pro, 512GB MicroSDXC UHS-I Clase 10, con Adaptador",AUSDX512GUI3V30SA2-RA1,$834.00,$569.00,$99.00,30
"Procesador AMD Ryzen 5 5600G con Gráficos Radeon 7, S-AM4, 3.90GHz, Six-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000252BOX,"$2,177.00","$1,889.00",$99.00,17
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,610.00","$2,919.00",$99.00,2
"SSD XPG SX8200 Pro, 1TB, PCI Express 3.0, M.2, 3.5mm",ASX8200PNP-1TT-C,"$1,212.00",$969.00,$99.00,18
"Fuente de Poder Balam Rush BR-931151 80 PLUS Bronze, ATX, 450W",BR-931151,$739.00,$619.00,$99.00,16
"Balam Rush Silla Gamer Thunder Rush 2, hasta 150Kg, Rosa",BR-932851,"$3,942.00","$2,879.00",$319.00,7
"Logitech Bocina Z625 con Subwoofer, Alámbrico, 2.1, 70W RMS, Entrada Óptica, Negro",980-001258,"$4,758.00","$3,729.00",$144.00,4
"SSD Externo SanDisk Extreme Pro V2 NVMe, 1TB, USB-C, Negro",DSSDE81-1T00-G25,"$2,834.00","$2,119.00",$99.00,4
"Tripp Lite Adaptador USB 3.0 SuperSpeed - SATA / IDE, para Discos Duros de 2.5''/3.5''/5.25''",338-06N,$699.00,$579.00,Envío gratis,4
"Procesador Intel Core i7-11700K Intel UHD Graphics 750, S-1200, 3.60GHz, 8-Core, 16MB Smart Cache (11va Generación Rocket Lake)",BX8070811700K,"$7,069.00","$5,119.00",$99.00,52
"Cartucho Brother LC61C Cian, 325 Páginas",LC61C,$391.00,$222.00,$99.00,11
"MSI Audífonos Gamer con Micrófono Immerse GH30 V2 para PS4/Xbox/Nintendo/PC, Alámbrico, 1.5 Metros, 3.5mm, Negro",IMMERSE GH30 V2,$652.00,$464.00,$99.00,3
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 3060 GAMING OC (rev. 2.0), 12GB 192-bit GDDR6, PCI Express x16 4.0",GV-N3060GAMING OC-12GD (REV 2.0),"$6,915.00","$6,029.00",$99.00,39
"SSD Adata Ultimate SU630 QLC 3D, 960GB, SATA, 2.5"", 7mm",ASU630SS-960GQ-R,$722.00,$599.00,$99.00,562
"Monitor Gamer Balam Rush Odissey LED 23.8"" Full HD, FreeSync, 144Hz, HDMI, Negro",BR-932417,"$3,201.00","$2,439.00",$144.00,12
"Procesador Intel Core i7-12700K Intel UHD Graphics 770, S-1700, 3.60GHz, 12-Core, 25MB Smart Cache (12va. Generación - Alder Lake)",BX8071512700K,"$7,195.00","$6,059.00",$99.00,2
"Logitech Webcam C270, 3MP, 1280 x 720 Pixeles, USB 2.0, Negro",960-000947,$619.00,$457.00,$99.00,323
"Disipador CPU Cooler Master Hyper 212 ARGB, 120mm, 650-1800RPM, Negro ― Requiere Bracket 603005420-GP para Socket S-1700 de Procesadores Intel 12va. Generación o Superior",RR-2V2L-18PA-R1,$669.00,$549.00,$99.00,4
"SSD SanDisk Plus, 240GB, SATA III, 2.5'', 7mm",DSSDA-240G-G26,$936.00,$739.00,$99.00,23
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,022.00",$869.00,$99.00,74
"Memoria Flash SanDisk para Nintendo Switch, 128GB MicroSDXC Clase 3",DSQXAO-128G-GNCZN,$486.00,$354.00,$99.00,9
"Monitor ASUS ProArt PA248QV LED 24.1"", Full HD, 75Hz, HDMI, Bocinas Integradas (2 x 4W), Negro",90LM05L1-B013B0,"$4,502.00","$3,929.00",Envío gratis,26
"Monitor Curvo Samsung LC34J791WTLXZX QLED 34'', Quad HD, Ultra Wide, FreeSync, 100Hz, HDMI, Bocinas Integradas, Gris Claro",LC34J791WTLXZX,"$15,743.00","$12,539.00",$189.00,47
"Monitor BenQ GW2283 LED 21.5"", Full HD, HDMI, Bocinas Integradas (2 x 2W), Negro",9H.LHLLA.TBL,"$2,126.00","$1,879.00",Envío gratis,122
"Logitech Webcam HD Pro C920 con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-000764,"$1,204.00",$919.00,$99.00,186
"Xiaomi Aspiradora Mi Vacuum Cleaner Mini, 120W, 100 ml, Sin bolsa, Blanco",MI VACUUM MINI,$844.00,$579.00,$99.00,174
"Memoria RAM Adata AD5U480016G-S DDR5, 4800MHz, 16GB, ECC, CL40",AD5U480016G-S,"$1,113.00",$809.00,$99.00,80
"Disco Duro para Laptop Toshiba L200 2.5'', 1TB, SATA III, 6Gbit/s, 5400RPM, 128MB Cache",HDWL110UZSVA,$812.00,$669.00,$99.00,20
"Tóner Brother TN-336 Negro, 4000 Páginas",TN336BK,"$2,227.00","$1,389.00",$99.00,14
"Teclado Logitech K480 Multiplataforma, Inalámbrico, Bluetooth, Negro (Español)",920-006346,$845.00,$659.00,$99.00,115
"DSC Gabinete para Panel de Control GMX003, Beige, para  PC1832/HS2032/HS2128",GMX-003,$566.00,$390.00,$99.00,75
"Disco Duro Interno Western Digital WD Blue 2.5"", 2TB, SATA III, 6 Gbit/s, 5400RPM, 128MB Cache",WD20SPZX,"$1,425.00","$1,169.00",$99.00,31
"Multifuncional Xerox C235, Color, Laser, Inalámbrico, Print/Copy/Scan/Fax ― Producto podría requerir actualización de Firmware durante el proceso de instalación.",C235/DNI,"$9,939.00","$7,219.00",$219.00,29
"SSD XPG SX6000 Pro, 1TB, PCI Express 3.0, M.2",ASX6000PNP-1TT-C,"$1,027.00",$749.00,$99.00,19
"Teclado Gamer Logitech G815 RGB, Teclado Mecánico, Switch GL Táctil, Alámbrico, Negro (Inglés)",920-008984,"$4,158.00","$3,579.00",$99.00,3
"Disco Duro Interno Toshiba L200 2.5"", 2TB, SATAIII, 6 Gbit/s, 5400RPM, 128MB Caché",HDWL120UZSVA,"$1,277.00","$1,069.00",$99.00,12
"SSD Externo SanDisk Extreme Portable V2, 1TB, USB C 3.0, Negro",DSSDE61-1T00-G25,"$2,188.00","$1,599.00",$99.00,6
"Mouse Gamer Ergonómico EVGA Óptico X20, Inalámbrico, Bluetooth/USB-A, 16000DPI, Negro",903-T1-20BK-K3,"$1,559.00","$1,049.00",$99.00,183
"Game Factor Audífonos Gamer HSG500, Alámbrico, 1.5 Metros, 3.5mm, Negro",HSG500,$509.00,$384.00,$99.00,8
"Logitech Sistema de Bocinas con Subwoofer Z607, Bluetooth, Alámbrico, 5.1, 80W RMS, USB, Negro",980-001315,"$2,511.00","$2,089.00",$149.00,30
StarTech.com Adaptador de Video Externo USB 3.0 a 2 Puertos HDMI 4K para 2 Pantallas ― ¡Compra y recibe hasta $100 de saldo para tu siguiente pedido! Limitado a 10 unidades por cliente,B32HD2,"$1,759.00","$1,239.00",$99.00,9
"Procesador Intel Core i3-10100F, S-1200, 3.60GHz, Quad-Core, 6MB Caché (10ma Generación - Comet Lake)",BX8070110100F,"$1,213.00","$1,059.00",$99.00,22
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",CGC-500/BL,"$3,419.00","$2,899.00",$319.00,12
"Procesador Intel Core i3-12100F, S-1700, 3.30GHz, Quad-Core, 12MB Smart Cache (12va.  Generación - Golden Cove)",BX8071512100F,"$1,857.00","$1,689.00",$99.00,9
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 3060 GAMING OC 12G, 12GB 192-bit GDDR6, PCI Express x16 4.0",GV-N3060GAMING OC-12GD,"$6,915.00","$6,029.00",$99.00,73
"Fuente de Poder AORUS P1200W 80 PLUS Platinum, 20+4 pin ATX, 140mm, 1200W",GP-AP1200PM,"$5,835.00","$4,899.00",Envío gratis,¡1
"Teclado Logitech Touch K400 Plus, Inalámbrico, USB, Negro (Español)",920-007123,$832.00,$659.00,$99.00,120
"Logitech Webcam HD Pro C920s con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-001257,"$1,366.00","$1,179.00",$99.00,375
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$8,216.00","$6,849.00",Envío gratis,¡1
"Laptop Gamer Lenovo Legion 5 15IAH7H 15.6"" Full HD, Intel Core i5-12500H 3.30GHz, 8GB, 1TB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bits, Español, Gris",82RB00PBLM,"$24,659.00","$20,629.00",$99.00,167
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$717.00,$569.00,$99.00,285
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,778.00","$1,399.00",$99.00,¡1
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Lila",981-000889,"$2,975.00","$2,629.00",$99.00,8
"Amazon Echo Dot Asistente de Voz 5ta Generación, Inalámbrico, WiFi, Bluetooth, Azul",B0BF6WVJ63,$988.00,$849.00,$99.00,346
"Memoria USB SanDisk Ultra Shift, 256GB, USB 3.0, Negro",DCZ410-256G-G46,$405.00,$268.00,$99.00,43
"HP Mochila Executive para Laptop 15.6"", Negro",6KD07AA,"$1,499.00","$1,039.00",$99.00,3
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, 32MB L3 Cache, con Disipador Wraith Stealth",100-100000031BOX,"$2,296.00","$1,979.00",$99.00,61
"Xbox Live, 6 Meses ― Producto Digital Descargable",6T-00007,$839.00,$689.00,Envío gratis,existencia
"Teclado Gamer Game Factor KBG560 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Negro (Español)",BG560,$872.00,$669.00,$99.00,7
"Logitech Teclado Gamer G Pro RGB, Mecánico, Switch GX Blue, Alámbrico, Negro (Inglés)",920-009388,"$2,476.00","$2,159.00",$99.00,14
"SSD Kingston KC3000 NVMe, 2048GB, PCI Express 4.0, M.2",C3000D/2048G,"$2,538.00","$2,109.00",$99.00,45
"Balam Rush Webcam Stelar CW750, 1920 x 1080 Pixeles, USB, Negro",BR-932974,$631.00,$441.00,$99.00,16
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 White OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0GB7-M0NA00,"$6,583.00","$5,799.00",Envío gratis,21
"Memoria Flash SanDisk para Nintendo Switch, 256GB MicroSDXC Class 3 (U3)",DSQXAO-256G-GNCZN,$760.00,$559.00,$99.00,19
"Tarjeta de Video ASUS NVIDIA GeForce GTX 1660 SUPER Phoenix OC, 6GB 192-bit GDDR6, PCI Express 3.0",90YV0DT0-M0AA00,"$5,661.00","$4,869.00",Envío gratis,5
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,836.00","$2,539.00",$99.00,2
"Memoria RAM Dell AA799064 DDR4, 3200MHz, 16GB, ECC, para PowerEdge",AA799064,"$6,919.00","$3,209.00",$99.00,99
"Teclado Gamer Game Factor KBG560 RGB, Teclado Mecánico, Switch Red, Alámbrico, Rojo (Español)",BG560-RD,$875.00,$669.00,$99.00,7
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Blanco (Inglés)",920-009660,"$3,172.00","$2,839.00",$99.00,¡1
"Disco Duro para Videovigilancia Western Digital WD Purple Surveillance 3.5"", 3TB, SATA III, 6 Gbit/s, 5400 RPM, 64MB Caché",WD33PURZ,"$1,970.00","$1,489.00",$99.00,4
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Gris",M-T220NZAAMXO,"$3,192.00","$2,299.00",$99.00,27
"Nexxt Solutions Smart Plug AHIWPSO4U1 WiFi, 1 Conector, 100 - 240V, Blanco, 2 Piezas",AHIWPSO4U1 2PK,$393.00,$173.00,$99.00,144
"Teclado Gamer Game Factor KBG560 RGB, Teclado Mecánico, Switch Red, Alámbrico, Blanco (Español)",BG560-WH,$872.00,$669.00,$99.00,8
"Multifuncional Xerox B235, Blanco y Negro, Láser, Inalámbrico, Print/Copy/Scan/Fax ― Producto podría requerir actualización de Firmware durante el proceso de instalación.",B235/DNI,"$6,179.00","$4,669.00",$164.00,88
"SSD Western Digital WD Blue SN570 NVMe, 250GB, PCI Express 3.0, M.2 ―  Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS250G3B0C,$546.00,$420.00,$99.00,7
"Router Tenda Gigabit Ethernet de Banda Dual Firewall AC8 AC1200, Inalámbrico, 867Mbit/s, 4x RJ-45, 2.4/5GHz, 4 Antenas Externas 6dBi",AC8,$639.00,$440.00,$99.00,5
"SSD Kingston FURY Renegade NVMe, 2TB, PCI Express 4.0, M.2",FYRD/2000G,"$2,715.00","$2,319.00",$99.00,24
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Blanco",981-000882,"$2,940.00","$2,659.00",$99.00,3
